wordId,english,kurdish,english_length,kurdish_length
1,A,(kurteya ATOMIC) atomî,1.0,22.0
2,A,(muz) a (not),1.0,13.0
3,A,a (li fêrgehan baştirîn pile),1.0,29.0
4,a,yek,1.0,3.0
5,a,yekem tîpa alfabeya inglîzî,1.0,27.0
6,A.,kurteya Absolute,2.0,16.0
7,A.,kurteya Academy,2.0,15.0
8,A.,kurteya acre,2.0,12.0
9,A.,kurteya America[n],2.0,18.0
10,A.,kurteya angstrom unit,2.0,21.0
11,A.,kurteya Anno (= year),2.0,21.0
12,A.,kurteya Artillery,2.0,17.0
13,abandon,berdan,7.0,6.0
14,abate,kêmkirin,5.0,8.0
15,abide,ragirtin,5.0,8.0
16,about,der barê,5.0,8.0
17,above,jor,5.0,3.0
18,abridge,kurtkirin,7.0,9.0
19,abscond,revîn,7.0,5.0
20,absence,tunebûn,7.0,7.0
21,absolute,xwerû,8.0,5.0
22,absorb,mêtin,6.0,5.0
23,abstract,razber,8.0,6.0
24,abundance,mal,9.0,3.0
25,abundant,berdar,8.0,6.0
26,abundant,kertek,8.0,6.0
27,acceptation,wate,11.0,4.0
28,access,gihiştin,6.0,8.0
29,access,xwegihandin,6.0,11.0
30,accident,bobelat,8.0,7.0
31,accident,qeda,8.0,4.0
32,account,hesab,7.0,5.0
33,account,sedem,7.0,5.0
34,accountable,berpirs,11.0,7.0
35,accountable,berpirsiyar,11.0,11.0
36,accurate,rast,8.0,4.0
37,accustomed,fêr,10.0,3.0
38,ache,êşîn,4.0,4.0
39,acid,tirş,4.0,4.0
40,acrid,tûj,5.0,3.0
41,acrobat,canbaz,7.0,6.0
42,act,tevgerîn,3.0,8.0
43,act,zagon,3.0,5.0
44,action,bandor,6.0,6.0
45,action,bizav,6.0,5.0
46,action,gurbizî,6.0,7.0
47,action,mêş,6.0,3.0
48,action,çalakî,6.0,6.0
49,actions,çalakî,7.0,6.0
50,active,çalak,6.0,5.0
51,activities,çalakiyan,10.0,9.0
52,activities,çalakiyên,10.0,9.0
53,activities,çalakî,10.0,6.0
54,activity,bizav,8.0,5.0
55,activity,çalakî,8.0,6.0
56,actress,aktrîs,7.0,6.0
57,actual,rastîn,6.0,6.0
58,actually,bi rastî,8.0,8.0
59,acute,tûj,5.0,3.0
60,adapt,lêanîn,5.0,6.0
61,add,zêdekirin,3.0,9.0
62,address,navnîşan,7.0,8.0
63,adept,pispor,5.0,6.0
64,adhere,çespandin,6.0,9.0
65,adjective,rengdêr,9.0,7.0
66,adjust,edilandin,6.0,9.0
67,adjust,lêanîn,6.0,6.0
68,adjust,sererastkirin,6.0,13.0
69,administer,birêvebirin,10.0,11.0
70,administer,kargerandin,10.0,11.0
71,administration,kargerî,14.0,7.0
72,adolescence,ciwanî,11.0,6.0
73,adolescence,xortanî,11.0,7.0
74,adroit,jêhatî,6.0,6.0
75,adventure,serborî,9.0,7.0
76,advertise,ragihandin,9.0,10.0
77,advice,pend,6.0,4.0
78,afar,dûr,4.0,3.0
79,affair,bûyer,6.0,5.0
80,affect,bandorlêkirin,6.0,13.0
81,affirmative,erênî,11.0,5.0
82,afflatus,best,8.0,4.0
